position,rank,player_id,player_name,player_disp,posteam,defteam,start_pct,boom_pct,disp_vol,report_status,p_start_recal,p_boom_recal,pred_vol
TE,93,00-0033217,Mo Alie-Cox,Mo Alie-Cox,IND,BAL,17,4,4,NA,0.16873197232661818,0.03539820271580311,4.452784469993785
TE,94,00-0037292,Andrew Ogletree,Andrew Ogletree,IND,BAL,17,4,4,NA,0.1684526757904276,0.04247644574696996,4.449310143207126
TE,95,00-0040598,Mark Redman,Mark Redman,GB,MIN,17,4,4,NA,0.16800768503346944,0.04411163334672653,4.434126149617666
TE,96,00-0033757,Robert Tonyan,Robert Tonyan,PIT,ATL,17,5,4,NA,0.1677367334727977,0.05011184657662508,4.484335943150793
TE,97,00-0039359,Cade Stover,Cade Stover,HOU,BUF,17,5,5,NA,0.1674162432403228,0.05229527099915489,4.540574648557078
TE,98,00-0036590,Quintin Morris,Quintin Morris,JAX,CLE,17,7,4,NA,0.1662424540098519,0.07415831568147607,4.457637045120871
TE,99,00-0040081,Jake Briningstool,Jake Briningstool,KC,DEN,16,6,4,NA,0.16434672127386502,0.05830308906284837,4.457637045120871
TE,100,00-0040584,Gunnar Helm,Gunnar Helm,TEN,NYJ,16,7,5,NA,0.1632642633550155,0.0692358835213144,4.655331981367061
TE,101,00-0037755,Jelani Woods,Jelani Woods,NYJ,TEN,16,6,5,NA,0.16081069752179591,0.05884947016740101,4.758204398923314
TE,102,00-0041524,Will Kacmarek,Will Kacmarek,MIA,LV,16,6,5,NA,0.15854814223757954,0.06322160164690166,4.793578744530191
TE,103,00-0037304,Connor Heyward,Connor Heyward,LV,MIA,16,4,4,NA,0.1583011126643176,0.04302144332118553,4.484335943150793
TE,104,00-0034981,Foster Moreau,Foster Moreau,HOU,BUF,16,6,4,NA,0.15824320762163763,0.06048880220568398,4.402595252495388
TE,105,00-0038115,Daniel Bellinger,Daniel Bellinger,TEN,NYJ,16,6,5,NA,0.155772603628494,0.05830308906284837,4.5424525649726055
TE,106,00-0034365,Ian Thomas,Ian Thomas,LV,MIA,15,5,4,NA,0.15466117582220762,0.05338724910356462,4.434126149617666
TE,107,00-0036876,Kylen Granson,Kylen Granson,TEN,NYJ,15,5,5,NA,0.15432359189938935,0.0517493467846333,4.538486461266911
TE,108,00-0032392,Austin Hooper,Austin Hooper,ATL,PIT,15,6,5,NA,0.15356010080936558,0.06103530631949193,4.592537229462235
TE,109,00-0036422,Adam Trautman,Adam Trautman,DEN,KC,15,6,5,NA,0.15303545311312075,0.05666414667361906,4.561455082812168
TE,110,00-0036187,Reggie Gilliam,Reggie Gilliam,NE,SEA,15,5,4,NA,0.1505640263836359,0.04629275136441496,4.449310143207126
TE,111,00-0041314,Tanner Arkin,Tanner Arkin,NE,SEA,15,4,4,NA,0.15037937056707035,0.03975249597058656,4.449310143207126
TE,112,00-0039912,Ben Sinnott,Ben Sinnott,WAS,PHI,15,5,5,NA,0.1497470754550741,0.05011184657662508,4.564702974577282
TE,113,00-0036628,John Bates,John Bates,WAS,PHI,15,6,5,NA,0.14862447111957292,0.06158183911511638,4.538833394861079
TE,114,00-0039648,David Martin-Robinson,David Martin-Robinson,TEN,NYJ,15,5,4,NA,0.14723454787315957,0.05229527099915489,4.441397311935672
TE,115,00-0037805,Jeremy Ruckert,Jeremy Ruckert,NYJ,TEN,15,5,5,NA,0.14683265601847936,0.0490204181443333,4.576806120367049
TE,116,00-0034959,Andrew Beck,Andrew Beck,NYJ,TEN,15,6,5,NA,0.14586115512498177,0.05721042642175668,4.5457666916165405
TE,117,00-0038783,Nate Adkins,Nate Adkins,DEN,KC,15,6,4,NA,0.14520824277898947,0.05721042642175668,4.457637045120871
TE,118,00-0041133,Dallen Bentley,Dallen Bentley,DEN,KC,14,5,4,NA,0.1447710539981276,0.05120346723481726,4.457637045120871
TE,119,00-0036429,Charlie Woerner,Charlie Woerner,ATL,PIT,14,5,4,NA,0.14335869698784487,0.05229527099915489,4.4611113719075295
TE,120,00-0039686,Colson Yankoff,Colson Yankoff,WAS,PHI,14,5,4,NA,0.14205427888232547,0.04792919143411586,4.449310143207126
TE,121,00-0041579,Seydou Traore,Seydou Traore,MIA,LV,14,6,5,NA,0.140519103215573,0.05557169491281011,4.534689625735563
TE,122,00-0041077,Justin Joly,Justin Joly,MIA,LV,14,6,5,NA,0.14010680131899192,0.05775674085216733,4.534689625735563
TE,123,00-0037004,Hunter Long,Hunter Long,ARI,LAC,14,6,5,NA,0.13888429431893878,0.05884947016740101,4.592537229462235
TE,124,00-0039041,Elijah Higgins,Elijah Higgins,ARI,LAC,14,5,5,NA,0.13819267153333886,0.0490204181443333,4.601106244005213
TE,125,00-0038710,Blake Whiteheart,Blake Whiteheart,CLE,JAX,12,3,4,NA,0.1187058865813621,0.03104978204797369,4.457637045120871
TE,126,00-0041131,Carsen Ryan,Carsen Ryan,CLE,JAX,12,4,4,NA,0.11835866193792008,0.04029714197416743,4.457637045120871
WR,1,00-0036900,Ja'Marr Chase,Ja'Marr Chase,CIN,TB,58,33,10,NA,0.5768176473261293,0.33024691358024694,9.97631277298613
WR,2,00-0036963,Amon-Ra St. Brown,Amon-Ra St. Brown,DET,NO,57,33,10,NA,0.565413035567398,0.3333333333333333,10.04546997069895
WR,3,00-0038543,Jaxon Smith-Njigba,Jaxon Smith-Njigba,SEA,NE,56,38,10,NA,0.5648952414602154,0.37662337662337664,9.95236652552683
WR,4,00-0039064,Zay Flowers,Zay Flowers,BAL,IND,53,33,10,NA,0.5349536123428937,0.33024691358024694,9.712944566237937
WR,5,00-0039075,Puka Nacua,Puka Nacua,LA,SF,53,29,9,NA,0.5331145062191851,0.2911392405063291,8.961165858032768
