position,player_id,player_name,posteam,defteam,week,report_status,pred_vol,p_start,p_boom,p_start_base,p_boom_base,pred_vol_base,n_base_weeks,opp_def_adj_now,implied_total_now,team_spread_now,opp_def_adj_base,implied_total_base,team_spread_base,delta_start_pp,delta_boom_pp,delta_vol,injury_flag
WR,00-0039915,Ladd McConkey,LAC,KC,15,NA,6.976073149248579,0.31119740695299547,0.15013836685922655,0.3343001334158198,0.17602472022678195,7.669643331576099,2,-0.08394971033332387,NA,NA,-0.20460089444259782,NA,NA,-2.310272646282435,-2.5886353367555404,-0.6935701823275195,FALSE
TE,00-0036040,Juwan Johnson,NO,CAR,15,NA,6.184157511522383,0.3478374416462058,0.1439224837932913,0.3252547497131098,0.1449829102343816,5.991438064065218,2,-0.14007400288110594,NA,NA,-0.12703158051453062,NA,NA,2.258269193309598,-0.10604264410902786,0.19271944745716496,FALSE
QB,00-0039163,C.J. Stroud,HOU,ARI,15,NA,2.374737851306567,0.275,0.11829736149008822,0.29725,0.1364607881794941,2.5315357162845875,2,0.24504709402505134,NA,NA,0.11851464062064017,NA,NA,-2.224999999999999,-1.816342668940589,-0.1567978649780204,FALSE
TE,00-0036290,Cole Kmet,CHI,CLE,15,NA,4.7531036719856425,0.1921092197034931,0.06899115501494202,0.169967708075914,0.056283214678178484,4.497524486401613,2,-0.023441238032607115,NA,NA,-0.21669520184709284,NA,NA,2.2141511627579105,1.2707940336763535,0.2555791855840299,FALSE
TE,00-0040126,Colston Loveland,CHI,CLE,15,NA,5.58458933255413,0.2759217700183246,0.11379732256177189,0.2974818429954649,0.12776982342759627,5.755958350698468,2,-0.023441238032607115,NA,NA,-0.21669520184709284,NA,NA,-2.15600729771403,-1.3972500865824382,-0.17136901814433791,FALSE
QB,00-0034796,Lamar Jackson,BAL,CIN,15,NA,5.216094959489634,0.464,0.2390141709636384,0.4435,0.22752462661474157,5.277609702711096,2,0.20847309042130574,NA,NA,0.2445571246251088,NA,NA,2.0500000000000016,1.1489544348896819,-0.061514743221462,FALSE
RB,00-0040122,Ashton Jeanty,LV,PHI,15,NA,23.74454540375838,0.6195,0.38424052467652386,0.5994667751109019,0.3910816938348647,23.119796574755824,2,-0.2021028431715825,NA,NA,-0.0337854397723045,NA,NA,2.00332248890982,-0.6841169158340821,0.6247488290025558,FALSE
RB,00-0039040,De'Von Achane,MIA,PIT,15,NA,18.931523012449063,0.501,0.2902512210750772,0.520786112138182,0.32418608532922083,20.932223038353804,2,-0.1757557648823734,NA,NA,-0.06939410704705819,NA,NA,-1.9786112138182044,-3.3934864254143604,-2.0007000259047416,FALSE
RB,00-0038120,Breece Hall,NYJ,JAX,15,NA,21.21641707573344,0.524,0.302832586463192,0.5434861938381644,0.3263349249884966,20.817712402284652,2,-0.10370350905048606,NA,NA,-0.11815123091803648,NA,NA,-1.9486193838164412,-2.350233852530459,0.3987046734487869,FALSE
QB,00-0034869,Sam Darnold,SEA,IND,15,NA,2.153038976368353,0.315,0.15083902751512757,0.29700000000000004,0.13651133793230247,2.095924954273786,2,0.18465387679421433,NA,NA,0.23808228473852697,NA,NA,1.799999999999996,1.4327689582825098,0.05711402209456695,FALSE
