player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_carry_share,wt_target_share,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,games_played_so_far,def_used_fallback,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,own_q_int,own_practice_int,weeks_missed,return_from_absence,above_new_out_share,above_q_share,above_long_out_share,baseline_carry_share,baseline_target_share,baseline_snap_share,baseline_team_total_plays
00-0040122,LV,DEN,2025_14_DEN_LV,-0.23877716110757105,0.9134307374931864,0.8474711148077838,NA,-0.0489782974399718,TRUE,r1,Ashton Jeanty,-0.18979886366759924,63.10230020846639,0.8588719726448942,12,FALSE,0.01274899235853263,-0.7964712371890719,-1.4393313357759772,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.6173708920187794,0.5972222222222222,0.5529411764705883,66.58823529411765
00-0040162,CLE,TEN,2025_14_TEN_CLE,0.09514793992830436,0.16405828641315667,0.4040275007528762,NA,-0.02809360923288515,TRUE,r4_5,Dylan Sampson,0.12324154916118953,61.3343113446504,0.271888820167818,12,FALSE,-0.04558900190388208,-0.03618392801649705,0,2025,14,NA,NA,Questionable,Limited Participation in Practice,1,1,1,1,0,0,0,0.23454545454545456,0.24645354645354645,0.23645220588235294,71.3529411764706
00-0040198,MIA,NYJ,2025_14_MIA_NYJ,-0.4289901295448699,0.16088934133447827,0.02912939118833813,NA,-0.12781488045811076,TRUE,r6_udfa,Ollie Gordon II,-0.3011752490867592,59.32123037306554,0.24922318038494665,12,FALSE,-0.00837679124569838,0.3926689119663654,0,2025,14,NA,NA,NA,NA,0,3,2,1,0,0,0,0.22929936305732485,0.15789473684210525,0.09714285714285714,68.29411764705883
00-0040202,NO,TB,2025_14_NO_TB,-0.23362557586750285,0.44428905805890984,0.671163009563464,NA,-0.12781488045811076,TRUE,r6_udfa,Devin Neal,-0.10581069540939209,69.39017932828992,0.5882241932249263,12,FALSE,-0.13054352190252586,0.3538688045512426,1.2390977742069018,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0.7940849378896772,0.22929936305732485,0.15789473684210525,0.09714285714285714,65
00-0040236,CHI,GB,2025_14_CHI_GB,0.02456799503770377,0.5305880555119593,0.32298294762461965,NA,-0.12781488045811076,TRUE,r6_udfa,Kyle Monangai,0.15238287549581453,76.4447513486276,0.4842695334026536,12,FALSE,-0.17424400744115834,0.23657027600098657,0,2025,14,NA,NA,NA,Full Participation in Practice,0,2,0,0,0,0,0,0.22929936305732485,0.15789473684210525,0.09714285714285714,68.41176470588235
00-0040242,WAS,MIN,2025_14_WAS_MIN,-0.13611729858462948,0.42132067475214185,0.23154022698497495,NA,-0.12781488045811076,TRUE,r6_udfa,Jacory Croskey-Merritt,-0.00830241812651871,70.45583528963684,0.3417544040001281,12,FALSE,-0.19573800974222916,-0.08450395871555964,0.34581362585005426,2025,14,NA,NA,NA,NA,0,3,2,1,0,0,0,0.22929936305732485,0.15789473684210525,0.09714285714285714,68.88235294117646
00-0040583,HOU,KC,2025_14_HOU_KC,-0.09245233679773136,0.6998569507454084,0.6627036423478339,NA,-0.02809360923288515,TRUE,r4_5,Woody Marks,-0.06435872756484619,71.98446697821467,0.6323661863119985,12,FALSE,-0.25901636296256814,0.534898278638087,0,2025,14,NA,NA,NA,Full Participation in Practice,0,2,0,0,0,0,0,0.23454545454545456,0.24645354645354645,0.23645220588235294,66.47058823529412
00-0040666,LAC,PHI,2025_14_PHI_LAC,0.02104976062499903,0.7460897954746974,0.7646756468441018,NA,-0.0489782974399718,TRUE,r1,Omarion Hampton,0.07002805806497084,65.07349409569905,0.7295515023231279,12,FALSE,-0.1792851821214302,-0.4722810419600213,0.1925403245624857,2025,14,NA,NA,Questionable,Full Participation in Practice,1,2,8,1,0,0,0,0.6173708920187794,0.5972222222222222,0.5529411764705883,63.23529411764706
00-0040730,DEN,LV,2025_14_DEN_LV,0.07035559645123032,0.4202281407368425,0.4326002259758143,NA,-0.0725242009387155,TRUE,r2_3,RJ Harvey,0.14287979738994583,64.94155020130405,0.4120824057393142,12,FALSE,-0.0511239579815544,0.8921873929749988,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.48366013071895425,0.4666666666666667,0.4230357142857143,65.52941176470588
00-0040784,CLE,TEN,2025_14_TEN_CLE,-0.22847623052604957,0.8095147177899059,0.4024414688237763,NA,-0.0725242009387155,TRUE,r2_3,Quinshon Judkins,-0.15595202958733406,61.3343113446504,0.5235373731211481,12,FALSE,-0.04558900190388208,-0.03618392801649705,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.48366013071895425,0.4666666666666667,0.4230357142857143,71.3529411764706
