fold,pass_eff_leaves,pass_eff_lr,pass_eff_min_node,pass_eff_rounds,pass_eff_inner_rmse,db_vol_leaves,db_vol_lr,db_vol_min_node,db_vol_rounds,db_vol_inner_rmse,carry_vol_leaves,carry_vol_lr,carry_vol_min_node,carry_vol_rounds,carry_vol_inner_rmse,rush_dir_leaves,rush_dir_lr,rush_dir_min_node,rush_dir_rounds,rush_dir_inner_rmse
125,15,0.02,10,114,0.3168,15,0.05,10,89,9.0138,15,0.02,50,266,2.2471,7,0.05,20,34,2.5207
126,15,0.02,10,114,0.3173,15,0.05,10,83,9.0022,15,0.02,50,266,2.2548,7,0.05,20,33,2.5145
127,15,0.02,20,129,0.3149,7,0.02,50,175,8.962,7,0.05,50,197,2.2245,15,0.05,20,24,2.4872
128,31,0.05,20,37,0.3167,7,0.05,100,70,8.9995,7,0.05,50,246,2.2259,15,0.02,100,115,2.4738
129,15,0.02,100,101,0.3168,15,0.02,100,98,9.0508,7,0.02,20,240,2.2697,63,0.05,50,33,2.5075
130,15,0.05,20,60,0.3148,7,0.05,10,69,8.9699,7,0.05,50,118,2.294,63,0.05,10,20,2.4969
131,15,0.05,20,60,0.3164,7,0.05,10,69,8.9159,15,0.05,50,95,2.2962,63,0.05,10,20,2.4863
132,7,0.02,20,174,0.3258,7,0.05,50,71,8.8567,15,0.02,50,185,2.2741,15,0.05,50,24,2.4953
133,63,0.02,20,86,0.3243,15,0.05,50,43,8.8542,7,0.05,50,145,2.238,63,0.05,50,55,2.5257
134,7,0.05,20,67,0.3219,7,0.05,10,133,8.9047,15,0.05,20,91,2.2913,31,0.02,100,104,2.539
135,7,0.05,20,102,0.3239,7,0.02,50,175,8.8795,7,0.05,50,120,2.2976,7,0.02,100,88,2.5445
136,7,0.05,20,102,0.3222,7,0.02,50,175,8.9315,15,0.05,50,119,2.2711,7,0.05,50,25,2.5551
137,7,0.02,10,181,0.3227,7,0.05,100,65,8.9843,15,0.05,50,110,2.2534,31,0.02,50,95,2.5827
138,15,0.02,20,116,0.3195,7,0.05,20,96,8.9445,15,0.02,50,299,2.2575,7,0.05,100,64,2.576
139,7,0.02,10,190,0.3183,7,0.05,20,96,8.9023,15,0.02,50,235,2.2504,7,0.02,100,100,2.5569
140,31,0.05,100,45,0.3162,7,0.05,100,74,8.8977,15,0.02,50,248,2.2053,7,0.02,100,93,2.5664
141,31,0.05,100,45,0.315,7,0.05,100,74,8.8275,15,0.02,50,248,2.1985,7,0.02,100,105,2.5461
142,7,0.02,100,151,0.315,7,0.05,100,57,8.8803,15,0.05,50,110,2.1833,7,0.02,100,145,2.5936
143,7,0.02,10,130,0.3142,7,0.02,100,160,8.8995,7,0.05,50,91,2.1979,7,0.05,100,79,2.5968
