position,player_name,posteam,model_rank,ecr_rank,rank_gap,start_pct
RB,Brashard Smith,KC,89,83,-6,11
TE,Sam LaPorta,DET,1,7,6,47
TE,David Njoku,LAC,24,30,6,26
TE,T.J. Hockenson,MIN,25,19,-6,25
WR,Romeo Doubs,NE,41,47,6,26
WR,Ryan Flournoy,DAL,71,65,-6,17
WR,Marquise Brown,PHI,100,106,6,15
WR,Jaylin Lane,WAS,176,170,-6,10
QB,Jaxson Dart,NYG,6,11,5,41
QB,Daniel Jones,IND,29,24,-5,30
QB,Quinn Ewers,JAX,51,56,5,24
RB,Blake Corum,LA,35,40,5,17
RB,Tank Bigsby,PHI,51,56,5,14
RB,Emanuel Wilson,SEA,60,65,5,13
TE,Tyler Warren,IND,9,4,-5,33
TE,Colson Yankoff,WAS,121,126,5,14
WR,George Pickens,DAL,15,10,-5,41
WR,Stefon Diggs,WAS,57,62,5,20
WR,Tyquan Thornton,KC,74,79,5,17
WR,Luke McCaffrey,WAS,131,126,-5,13
WR,Simi Fehoko,ARI,177,182,5,10
QB,Justin Herbert,LAC,1,5,4,58
QB,Joe Burrow,CIN,5,1,-4,43
QB,Caleb Williams,CHI,14,10,-4,37
QB,Kyler Murray,MIN,20,16,-4,33
QB,Jameis Winston,NYG,45,49,4,26
RB,De'Von Achane,MIA,9,5,-4,48
RB,Jacory Croskey-Merritt,WAS,43,39,-4,16
RB,MarShawn Lloyd,GB,47,51,4,15
RB,Emari Demercado,DAL,81,77,-4,12
RB,DJ Giddens,IND,85,81,-4,11
TE,Brock Bowers,LV,5,1,-4,34
TE,Colston Loveland,CHI,7,3,-4,33
TE,Juwan Johnson,NO,16,12,-4,30
TE,Oronde Gadsden II,LAC,17,21,4,29
TE,Dalton Schultz,HOU,21,17,-4,28
TE,Mason Taylor,NYJ,39,43,4,22
TE,Josh Oliver,MIN,63,59,-4,19
WR,Brian Thomas Jr.,JAX,32,36,4,30
WR,Isaac TeSlaa,DET,72,76,4,17
WR,Calvin Ridley,TEN,73,69,-4,17
WR,Xavier Legette,CAR,93,89,-4,15
WR,Brycen Tremayne,CAR,136,140,4,13
QB,Dak Prescott,DAL,9,6,-3,40
QB,Riley Leonard,IND,58,55,-3,21
QB,Drew Allar,PIT,62,65,3,20
RB,Jonathan Taylor,IND,7,4,-3,51
RB,Derrick Henry,BAL,8,11,3,51
RB,Saquon Barkley,PHI,12,9,-3,44
RB,Tony Pollard,TEN,22,25,3,26
RB,RJ Harvey,DEN,34,37,3,17
RB,Emmett Johnson,KC,66,63,-3,13
TE,Dallas Goedert,PHI,13,10,-3,31
TE,Brenton Strange,JAX,19,16,-3,29
TE,AJ Barner,SEA,26,23,-3,24
TE,Jake Tonges,SF,38,35,-3,22
TE,Eli Stowers,PHI,41,38,-3,21
WR,Amon-Ra St. Brown,DET,1,4,3,58
WR,Xavier Worthy,KC,51,48,-3,21
WR,Rashod Bateman,BAL,69,72,3,18
WR,Elijah Sarratt,BAL,101,104,3,15
QB,Jalen Hurts,PHI,2,4,2,46
QB,Kirk Cousins,LV,30,28,-2,29
QB,Jack Strand,ATL,81,83,2,14
RB,Bijan Robinson,ATL,4,2,-2,56
RB,Christian McCaffrey,SF,5,3,-2,53
RB,Javonte Williams,DAL,15,13,-2,36
RB,Travis Etienne,NO,16,18,2,33
RB,Breece Hall,NYJ,17,15,-2,33
RB,D'Andre Swift,CHI,18,16,-2,32
RB,Jonathon Brooks,CAR,38,36,-2,16
RB,Kyle Monangai,CHI,40,38,-2,16
RB,Sean Tucker,TB,64,62,-2,13
RB,Eli Heidenreich,PIT,94,92,-2,11
RB,Reggie Gilliam,NE,113,115,2,9
TE,Travis Kelce,KC,11,9,-2,32
TE,Terrance Ferguson,LA,29,27,-2,23
TE,Evan Engram,DEN,31,29,-2,23
WR,Ja'Marr Chase,CIN,3,1,-2,55
WR,Puka Nacua,LA,4,2,-2,53
WR,Drake London,ATL,7,9,2,48
WR,Emeka Egbuka,TB,18,20,2,37
WR,Davante Adams,LA,19,21,2,37
WR,Jaylen Waddle,DEN,20,18,-2,36
WR,Jimmy Horn Jr.,CAR,149,151,2,13
QB,Baker Mayfield,TB,15,14,-1,37
RB,Jahmyr Gibbs,DET,2,1,-1,57
RB,Jaylen Warren,PIT,25,24,-1,24
RB,TreVeyon Henderson,NE,29,30,1,20
RB,Jordan Mason,MIN,42,41,-1,16
RB,Kyle Juszczyk,SF,104,105,1,10
TE,Jake Ferguson,DAL,10,11,1,33
TE,Colby Parkinson,LA,30,31,1,23
TE,Cole Kmet,CHI,42,41,-1,21
TE,Oscar Delp,NO,57,58,1,20
WR,Jaxon Smith-Njigba,SEA,2,3,1,56
WR,Chris Olave,NO,8,7,-1,48
